date	hubei cases	total
2020.1095034246575	24953	34673.0
2020.1104452054794	27100	36820.0
2020.1104775494673	27100	36831.0
2020.1105194063928	27100	36833.0
2020.1105270167427	27100	36833.0
2020.1105878995434	27100	36872.0
2020.110612633181	27100	36895.0
2020.110633561644	27100	36998.0
2020.110648782344	27100	37131.0
2020.1106754185691	27100	37164.0
2020.1107020547945	27100	37193.0
2020.11074391172	27100	37212.0
2020.110770547945	27100	37227.0
2020.1109094368342	27100	37238.0
2020.1109322678842	27100	37249.0
2020.1109570015221	27100	37251.0
2020.111253805175	27100	37252.0
2020.1114022070014	27100	37253.0
2020.1114212328766	27100	37262.0
2020.1114573820396	27100	37277.0
2020.1115296803653	27100	37279.0
2020.1115449010654	27100	37280.0
2020.1116133942162	27100	37286.0
2020.111689497717	27100	37287.0
2020.1118188736682	27100	37287.0
2020.1119044901066	27100	37288.0
2020.1120471841705	27100	37289.0
2020.1131830289194	29631	39824.0
2020.1132058599696	29631	39829.0
2020.1132172754947	29631	39847.0
2020.1132363013699	29631	39854.0
2020.1132762557077	29631	39866.0
2020.113299086758	29631	39892.0
2020.1133181126331	29631	39912.0
2020.1133675799088	29631	39946.0
2020.1133770928463	29631	40003.0
2020.113413242009	29631	40046.0
2020.1134303652968	29631	40074.0
2020.1134741248097	29631	40181.0
2020.1134988584474	29631	40206.0
2020.1135369101978	29631	40210.0
2020.1136054033486	29631	40221.0
2020.113654870624	29631	40224.0
2020.1139383561645	29631	40228.0
2020.1140753424659	29631	40235.0
2020.1141704718418	29631	40236.0
2020.1141742770167	29631	40241.0
2020.1142104261796	29631	40249.0
2020.1143340943684	29631	40259.0
2020.114394977169	29631	40261.0
